,Date,Time,Town / Village,Occupation of reporter (where known),County,Brief Description of sighting
1,14-Feb-01,00:15,Salisbury,,Wiltshire,"Very bright, like a shooting star. Tri-angle shaped. Flashing lights - red, purple and green. Moving in a Southerly direction."
2,14-Feb-01,19:15,North Kelsey,,Lincolnshire,"Looked like very bright stars. They were still, and then moved from side to side."
3,14-Feb-01,20:00,North Muirton/Perth,,Scotland,Two objects with white lights. The second object seemed dimmer. Moving at 90 degree angles. They moved at high speed.
4,16-Feb-01,21:00,Bishops Castle,,Shropshire,"One object, with red, yellow and green lighting on it. Was flying towards Shrewsbury."
5,16-Feb-01,18:20,Ruskington,,Shropshire,"Two lights, that were white and constant. They were heading East."
6,16-Feb-01,18:30,Ryhall,,Lincolnshire,Two large objects. Very bright and the intensity of Saturn. They were moving from North to South.
7,16-Feb-01,18:20,Scarborough,,North Yorkshire,Two very bright balls of light. They were moving from the West to East.
8,18-Feb-01,20:10,Starvation Island,,Norfolk,"One main object, very bright. White in colour. Stationary."
9,19-Feb-01,23:00,Staithes,,North Yorkshire,"One, large green ball which was shining brightly. Moving straight downwards - would have hit the sea 3-4 miles from the coast."
10,22-Feb-01,23:00,Woodford Green,,Essex,"Two small orange lights, far away in the distance. The lights joined and then look bigger. Looked like two sparklers."
11,23-Feb-01,18:30,Hampstead,,London,"One object, that was white in colour. Slow moving."
12,24-Feb-01,11:00,Truro,,Cornwall,"Explosion in the sky, but with no sound. It looked like a rocket. Was very large and had a blue and red light."
13,24-Feb-01,16:45,Bracknell,,Berkshire,"A white ball, followed by a USAF jet that was contrail ling. Was moving at high speed in a straight line."
14,26-Feb-01,23:00,,,Leicestershire,"A UFO. It had bright red, blue and orange flashing lights, in the shape of a tri-angle. Remained stationary for 15 minutes."
15,28-Feb-01,12:00,Whitchurch,,Shropshire,"A white, circular object with a ring around it. The object moved ten miles in about 2 seconds, then left to right, and then moved East."
16,01-Mar-01,19:00,Fleetwood,,Lancashire,"An unconventional silent craft, consisting of four red lights, flying low over the witness's house."
17,01-Mar-01,19:00,Morecombe Bay,,Lancashire,Unusual lights were seen over the bay.
18,01-Mar-01,10:00,Holyhead,,North Wales,Looked like a bright star. Had a pulsating red and green light. Was stationary and then moved off.
19,01-Mar-01,19:05,Fleetwood,,Lancashire,"Five flying saucers, that were orange in colour. They moved from East to West and then moved quickly over the sea."
20,02-Mar-01,,,,East Midlands,A UFO was running parallel to the landing lanes of an East Midlands Jet. (Message taken 2 March 2001).
21,08-Mar-01,18:45,Fleetwood,,Lancashire,"Two very bright lights, surrounded by smaller lights."
22,12-Mar-01,22:00,Finchley,,London,Soft orange lights in formation. They were moving fast to the South East.
23,12-Mar-01,18:00,Carnforth,,Lancashire,Three small lights above a large star shaped object. Very bright light. Was stationary.
24,20-Mar-01,01:00,Moseley,,West Midlands,"A very, bright light was seen. A couple of hours later, a dark object was seen with lights underneath."
25,21-Mar-01,,,,,"Big bright sphere, looked like Saturn."
26,21-Mar-01,19:15,Annan,,Scotland,"Red lights, but could not make out the shape. Hovered for a short time, then headed South East at speed."
27,26-Mar-01,22:45,Leith/Edinburgh,,Scotland,"Two fuzzy white lights, dancing around each other. They were moving to the East."
28,29-Mar-01,09:00,Chesham,,Buckinghamshire,"Two UFOs with flashing red lights. Objects seemed to interfere with the witness's radio and television, while heading South West."
29,29-Mar-01,15:03,Nr Gunnersbury Pk,,London,Fifty five suspicious circles in the sky.
30,31-Mar-01,18:15,Whaplode,,Lincolnshire,"Like a bag with two hanging straps, and one lose hanging strap. It was black and changing shape. Was stationary."
31,03-Apr-01,02:35,Chippenham,,Wiltshire,A pair of bright red lights were moving from the South East towards the North West. Each light had a double flashing pulse.
32,03-Apr-01,22:29,Aberdeen,,Scotland,"Star like object in the sky. Changing colours - red, blue and green."
33,04-Apr-01,02:15,Renfrew,,Scotland,Like a spotlight in the sky.
34,04-Apr-01,21:14,Aberdeen,,Scotland,"Looked like a star twinkling, but when seen through binoculars, it had a red, orange and blue light."
35,04-Apr-01,,Ashford,,Kent,Three fob shaped objects bobbed about in the sky.
36,13-Apr-01,23:15,Doncaster,,South Yorkshire,The object was high in the sky and was described as having headlights along the side of it.
37,13-Apr-01,,Syderstone,,Norfolk,One bright light. Was low on the horizon. Was seen for about 20 minutes.
38,16-Apr-01,01:30,Grimsby,,NE Lincolnshire,"A ball shaped object. It gave off a glow, like a hot coal ember - orange/red. It dropped through the air and then shot up and disappeared."
39,17-Apr-01,22:00,Nr Montrose,,Scotland,"Big fans of light, which made a circle. There were flashes in the centre of it. Was stationary."
40,19-Apr-01,19:35,,,Isle of Man,Three very large objects. They were travelling in formation. The distinct formation separated and they headed off South East.
41,06-May-01,19:50,Oxford,,Oxfordshire,"One object, was white and bright. It had a halo above it. Was heading North West."
42,07-May-01,20:30,Dersingham,,Norfolk,"Large orange, tadpole shaped object with a long tail. Was followed shortly afterwards, by two more similar objects."
43,12-May-01,22:10,Bristol Channel,,Somerset,Two satellite shaped objects. White and very bright.
44,14-May-01,06:50,Rhonda Valley,,Wales,One tennis ball sized object. Was round at the front and had a triangular back. Was rainbow coloured and very bright.
45,20-May-01,01:15,,,Humberside,Small blobs of rings with a larger ring around them. White and very bright. Stationary.
46,24-May-01,22:25,Forest Hill,,London,An alien craft was near to the witness's house. Disc with a beam of light coming from it. Electrical equipment was disturbed.
47,31-May-01,01:35,Grimsby,,NE Lincolnshire,Bright light travelling across the sky. Was very high and going faster than a jet.
48,31-May-01,03:00,Worcester,,Worcestershire,"One shooting star, very bright. The movements were slow and then very fast."
49,01-Jun-01,10:30,Glasgow,,Scotland,A black cylinder. It was moving West and making sharp movements.
50,03-Jun-01,02:14,Hitchin,,Hertfordshire,Saw an object. It was emitting a bright mauve light.
51,04-Jun-01,14:00,Moota/Cockermouth,,Cumbria,A large triangular craft hovered over a field. Was very colourful with white and red lights.
0,10-Jun-01,11:05,Kennoway,,Scotland,Small to medium sized object. Pebble shaped. Was black. Was travelling from South to the North.
1,10-Jun-01,18:00,Fenwick,,Newcastle-upon-Tyne,A white spherical object. Object was seen for about one minute.
2,10-Jun-01,01:56,Arbroath,,Scotland,"One triangular shaped, pulsing white light. Was about twice the size of a star. Object was stationary."
3,16-Jun-01,11:30,Diss,,Norfolk,"A hovering, orange light that was low in the sky. It turned white."
4,17-Jun-01,22:10,Weston-super-Mare,,Somerset,"Round, red, glowing ball, which changed colour as it slowed down. A second object then appeared."
5,19-Jun-01,18:00,Golders Green,,London,"Sixty - eighty jelly fish shaped objects that were white. There was also one single, pulsating red light amongst them."
6,25-Jun-01,21:00,Llanelli,,Wales,"One large, disc shaped object. Black in colour. It then changed to oval shape. The object was moving fast to the West."
7,28-Jun-01,23:59,Eynsham,,Oxfordshire,"One object, four times the size of a star. Round in shape. Bright light that was yellow/white. Moved North."
8,29-Jun-01,,Sutton Coldfield,,West Midlands,A UFO was floating high up in the sky over Sutton Park.
9,02-Jul-01,19:30,Hampstead Gardens,,London,One dome shaped object. Very dark. Was directly above and moving slowly.
10,04-Jul-01,07:00,,,Kent,One object. Had a bright light too. Was moving from West to East.
